       ORIGIN_PORT  DESTINATION_PORT
FWA         5261.0            5262.0
GCC          997.0             995.0
GCK          663.0             662.0
GEG         9505.0            9504.0
GFK          717.0             718.0
GGG          643.0             643.0
GJT         3179.0            3179.0
GNV         2683.0            2682.0
GPT         3605.0            3604.0
GRB         4881.0            4883.0
GRI          634.0             634.0
GRK         4033.0            4033.0
GRR        10845.0           10840.0
GSO         6737.0            6734.0
GSP         6542.0            6542.0
GST           77.0              77.0
GTF         1966.0            1966.0
GTR          927.0             927.0
GUC          497.0             495.0
GUM          334.0             334.0
HDN          703.0             703.0
HIB          898.0             897.0
HLN         1435.0            1434.0
HNL        43172.0           43157.0
HOB          571.0             571.0
HOU        52042.0           52041.0
HPN         7443.0            7459.0
HRL         3079.0            3084.0
HSV         4519.0            4522.0
HYA           83.0              83.0
HYS          573.0             573.0
IAD        34305.0           34282.0
IAG          322.0             322.0
IAH       146622.0          146683.0
ICT         8096.0            8097.0
IDA         2247.0            2247.0
ILG          100.0              98.0
ILM         1860.0            1861.0
IMT          620.0             621.0
IND        25558.0           25557.0
INL          574.0             574.0
ISN         2542.0            2542.0
ISP         4392.0            4392.0
ITH           34.0              35.0
ITO         5723.0            5723.0
JAC         3511.0            3510.0
JAN         7097.0            7098.0
JAX        18038.0           18040.0
JFK        93811.0           93809.0
JLN          666.0             666.0
JMS          812.0             814.0
JNU         4094.0            4096.0
KOA        11114.0           11113.0
KTN         2319.0            2320.0
LAN         1849.0            1848.0
LAR          581.0             582.0
LAS       133181.0          133198.0
LAW         1331.0            1330.0
LAX       194673.0          194696.0
LBB         4637.0            4636.0
LBE         1281.0            1280.0
LCH         1860.0            1859.0
LEX         5979.0            5982.0
LFT         5149.0            5147.0
LGA        99605.0           99581.0
LGB         8777.0            8778.0
LIH        10545.0           10545.0
LIT        10422.0           10417.0
LNK         2636.0            2637.0
LRD         2202.0            2202.0
LSE         1645.0            1646.0
LWS          588.0             587.0
MAF         7527.0            7522.0
MBS         1721.0            1720.0
MCI        38665.0           38655.0
MCO       110982.0          110980.0
MDT         3285.0            3286.0
MDW        80886.0           80884.0
MEI          907.0             908.0
MEM        14770.0           14769.0
MFE         3411.0            3407.0
MFR         2476.0            2471.0
MGM         3171.0            3171.0
MHK         1634.0            1634.0
MHT         6292.0            6292.0
MIA        69341.0           69324.0
MKE        29825.0           29833.0
MKG          667.0             667.0
MLB         1332.0            1332.0
MLI         3777.0            3777.0
MLU         2961.0            2962.0
MMH          156.0             156.0
MOB         5018.0            5017.0
MOT         1850.0            1850.0
MQT          304.0             305.0
MRY         2974.0            2974.0
MSN         9135.0            9129.0
